Data;PRECIPITACAO_TOTAL_MM;TEMP_AR_C;PCT_UMIDADE_RELATIVA_AR;VENTO_m_s
01/01/2021;0;20.1;96;2
01/01/2021;0;19.6;96;1.6
01/01/2021;0;19.6;96;1.2
01/01/2021;0;19.3;97;0.6
01/01/2021;0;19.8;97;1.4
01/01/2021;0;19.8;95;1.7
01/01/2021;0;19.4;97;0.6
01/01/2021;0;19.2;97;0.5
01/01/2021;0;19.2;98;1.4
01/01/2021;0;19.8;96;1.8
01/01/2021;0;20.4;95;1.2
01/01/2021;0;22.3;84;1.5
01/01/2021;0;22.6;83;1.5
01/01/2021;0;23.9;79;0.9
01/01/2021;0;24.1;71;1
01/01/2021;0;25.8;73;1.2
01/01/2021;0;25.8;70;1.3
01/01/2021;0;26.5;64;1.5
01/01/2021;0;22.5;90;3.7
01/01/2021;0;21.6;92;2.8
01/01/2021;0;22.2;88;2.4
01/01/2021;0;21.1;94;2.3
01/01/2021;0.4;20.7;96;2.4
01/01/2021;0;20.5;96;1.9
02/01/2021;0.2;20.1;97;2.2
02/01/2021;0.4;19.9;96;2.4
02/01/2021;0;19.8;97;3.3
02/01/2021;0.2;19.4;97;3.4
02/01/2021;0;19.5;98;2.4
02/01/2021;0;19.6;98;1.8
02/01/2021;0;19.2;97;2.1
02/01/2021;0.2;18.7;98;1.8
02/01/2021;0;18.7;98;2.3
02/01/2021;0;18.6;98;1.9
02/01/2021;0;18.7;97;1.5
02/01/2021;0;18.8;97;2.1
02/01/2021;0;19.3;96;2
02/01/2021;0;19.9;91;1.8
02/01/2021;0;19.8;96;1.7
02/01/2021;0;20.2;92;1.8
02/01/2021;0;21.4;85;2.7
02/01/2021;0;21.3;87;2.9
02/01/2021;0;20.6;89;3
02/01/2021;0;19.8;94;2.6
02/01/2021;0;19.6;95;2.1
02/01/2021;0;19.4;92;2.5
02/01/2021;0;19.1;97;2.9
02/01/2021;0;19;97;2.7
03/01/2021;0;18.6;96;3
03/01/2021;0;18.5;95;3.1
03/01/2021;0;18.6;94;2.6
03/01/2021;0;18.4;95;3.2
03/01/2021;0;18.2;94;3.3
03/01/2021;0.2;17.6;93;2.8
03/01/2021;0;17.7;96;2.2
03/01/2021;0;17.6;96;2.1
03/01/2021;0;17.5;96;1.9
03/01/2021;0;17.8;94;1.7
03/01/2021;0;18.7;91;1.9
03/01/2021;0;19.1;86;2.7
03/01/2021;0;20.2;80;3.2
03/01/2021;0;21.8;73;3.2
03/01/2021;0;22.7;71;3.8
03/01/2021;0;22.3;72;3.3
03/01/2021;0;23.4;72;3.9
03/01/2021;0;23;71;3.7
03/01/2021;0.2;21.9;79;3.8
03/01/2021;0;20.9;83;4.7
03/01/2021;0;19.5;89;4
03/01/2021;0;19.2;89;4.6
03/01/2021;0;18.6;94;3.3
03/01/2021;0;18.4;92;3.6
04/01/2021;0;18.1;90;3.9
04/01/2021;0;18.2;90;3.9
04/01/2021;0;18.3;94;2.4
04/01/2021;0;18.2;95;2.4
04/01/2021;0;18.5;94;2.4
04/01/2021;0;18.5;93;2.3
04/01/2021;0;18.1;96;1.7
04/01/2021;0;17.9;96;1.8
04/01/2021;0;17.3;98;1.3
04/01/2021;0;17.8;97;1.2
04/01/2021;0;19.4;85;1.5
04/01/2021;0;20.7;84;1.2
04/01/2021;0;22.6;70;2.1
04/01/2021;0;24.3;69;1.9
04/01/2021;0;24;71;2.3
04/01/2021;0;24.1;69;2.7
04/01/2021;0;22.6;79;3.5
04/01/2021;0.2;22.7;84;3.5
04/01/2021;0.6;22.5;89;3
04/01/2021;0;21.9;85;3.2
04/01/2021;0;20.7;90;2.8
04/01/2021;0;20.2;92;2.4
04/01/2021;0;19.8;94;2.2
04/01/2021;0;19.5;97;1.9
05/01/2021;0;19.6;98;1.7
05/01/2021;0;19.7;96;1.7
05/01/2021;0;19.6;93;1.8
05/01/2021;0;19.4;94;1.2
05/01/2021;0;19.3;96;1
05/01/2021;0;19.4;92;1
05/01/2021;0;19.2;93;0.7
05/01/2021;0;19.2;93;0.8
05/01/2021;0;19.2;93;0.9
05/01/2021;0;19.3;92;1.2
05/01/2021;0;20.9;85;1.4
05/01/2021;0;22.8;77;1.5
05/01/2021;0;25.2;67;2.3
05/01/2021;0;25.9;69;2.2
05/01/2021;0.2;28.2;63;1.7
05/01/2021;0;29.3;56;2.4
05/01/2021;0;28.1;57;2.4
05/01/2021;0;29.5;55;1.7
05/01/2021;0;30.7;52;2.2
05/01/2021;0;29.1;52;1.5
05/01/2021;0;26.1;64;1.7
05/01/2021;0;24.3;82;2.2
05/01/2021;0;23.3;83;1.3
05/01/2021;0;22.8;94;1.5
06/01/2021;0;22.3;96;1.6
06/01/2021;0;22.1;98;1
06/01/2021;0;22.1;98;0.5
06/01/2021;0;21.8;98;0.3
06/01/2021;0;21.9;99;0.4
06/01/2021;0;21.7;99;0.4
06/01/2021;0;21.5;99;0.8
06/01/2021;0;20.8;98;0.3
06/01/2021;0;21.2;98;0.3
